epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,18299.2,0.56487,0.35988,0.95897,0.97899,0.97168,0.98676,0.88055,0.54103,0.23898,0.89512,0.002179,0.002179,0.002179
81,18557.5,0.55974,0.35332,0.95423,0.97936,0.97051,0.98675,0.8833,0.54014,0.23887,0.89468,0.00208,0.00208,0.00208
82,18815.4,0.56072,0.35192,0.95821,0.98408,0.96692,0.98568,0.88132,0.53936,0.23956,0.89605,0.001981,0.001981,0.001981
83,19070.9,0.55114,0.34433,0.95944,0.98518,0.96781,0.98578,0.87995,0.53999,0.23875,0.8999,0.001882,0.001882,0.001882
84,19330.3,0.55019,0.34235,0.9547,0.98223,0.96931,0.98571,0.87986,0.53876,0.23873,0.90005,0.001783,0.001783,0.001783
85,19590.9,0.54967,0.3446,0.95612,0.98318,0.96669,0.98552,0.87982,0.53738,0.23773,0.89993,0.001684,0.001684,0.001684
86,19881.8,0.54723,0.34725,0.95286,0.9817,0.96869,0.98539,0.88077,0.53672,0.23845,0.90036,0.001585,0.001585,0.001585
87,20173.5,0.53879,0.33713,0.94598,0.98466,0.96688,0.98578,0.88047,0.53644,0.23807,0.89886,0.001486,0.001486,0.001486
88,20426.9,0.53782,0.33465,0.94945,0.98404,0.96818,0.98615,0.88058,0.53633,0.2386,0.8981,0.001387,0.001387,0.001387
89,20643.3,0.53925,0.33321,0.94796,0.98588,0.96753,0.98593,0.88085,0.53647,0.23998,0.89784,0.001288,0.001288,0.001288
90,20864,0.53198,0.32704,0.94205,0.98636,0.96773,0.98611,0.88194,0.53732,0.23945,0.89757,0.001189,0.001189,0.001189
91,21128.2,0.45574,0.22528,0.87976,0.98786,0.96417,0.98582,0.88057,0.53807,0.23876,0.89773,0.00109,0.00109,0.00109
92,21349.8,0.44712,0.21723,0.87806,0.98025,0.97284,0.98599,0.87986,0.53772,0.23835,0.89845,0.000991,0.000991,0.000991
93,21566.4,0.44183,0.21541,0.87425,0.98167,0.97052,0.98593,0.88115,0.53824,0.23862,0.90052,0.000892,0.000892,0.000892
94,21783.5,0.434,0.20888,0.8703,0.98022,0.97107,0.98583,0.88069,0.53785,0.23841,0.90092,0.000793,0.000793,0.000793
95,22003.7,0.43154,0.20963,0.87292,0.98433,0.96555,0.98551,0.88038,0.53841,0.23894,0.90178,0.000694,0.000694,0.000694
96,22224,0.42685,0.20599,0.867,0.98083,0.9725,0.98562,0.88085,0.5388,0.23905,0.90172,0.000595,0.000595,0.000595
97,22444.2,0.42123,0.20121,0.86775,0.98108,0.97209,0.9856,0.88107,0.53889,0.23897,0.90152,0.000496,0.000496,0.000496
98,22664.9,0.4187,0.19885,0.86375,0.98048,0.97336,0.98582,0.88199,0.53883,0.23918,0.90184,0.000397,0.000397,0.000397
99,22885.3,0.41021,0.19454,0.862,0.98044,0.97334,0.98583,0.88282,0.53914,0.24022,0.90214,0.000298,0.000298,0.000298
100,23105.2,0.40557,0.19013,0.86057,0.9794,0.9731,0.98584,0.88292,0.53945,0.24055,0.90239,0.000199,0.000199,0.000199
